episodes,genre,language,length,premiere,seasons,status,title
13,Teen drama,English,49–70 min.,2017-03-31,1,Renewed,13 Reasons Why
13,Teen drama,English,49–70 min.,2018-05-18,2,Renewed,13 Reasons Why
8,Black-comedy,English,36–64 min.,2017-01-13,1,Ended,A Series of Unfortunate Events
10,Black-comedy,English,36–64 min.,2018-03-30,2,Ended,A Series of Unfortunate Events
7,Black-comedy,English,36–64 min.,2019-01-01,3,Ended,A Series of Unfortunate Events
10,Romantic comedy,English,24–40 min.,2016-02-19,1,Ended,Love
12,Romantic comedy,English,24–40 min.,2017-03-10,2,Ended,Love
12,Romantic comedy,English,24–40 min.,2018-03-09,3,Ended,Love
26,Martial arts,English,23–24 min.,"June 25, 2018",2,Renewed,Baki
20,Comedy,English,15–20 min.,"April 20, 2018",2,"Pending
",Aggretsuko
24,Supernatural,English,22–23 min.,"March 23, 2018",2,"Pending
",Sword Gai: The Animation
7,Science fantasy,English,20–65 min.,"September 22, 2017",2,"Ended
",Neo Yokio
,Dark fantasy,English,23–29 min.,,,Renewed,Castlevania
20,Comic science fiction,English,86–94 min.,"April 14, 2017",2,"Pending
",Mystery Science Theater 3000: The Return
20,Comedy,English,21–57 min.,"November 6, 2015",2,"Ended
",Master of None
10,Coming-of-age,English,25–46 min.,2017-09-29,1,Renewed,Big Mouth
10,Coming-of-age,English,25–46 min.,2018-10-05,2,Renewed,Big Mouth
"February 8, 2019",Coming-of-age,English,25–46 min.,,Special,Renewed,Big Mouth
26,Martial arts,English,23–24 min.,"June 25, 2018",2,Renewed,Baki
20,Comedy,English,15–20 min.,"April 20, 2018",2,"Pending
",Aggretsuko
13,,English,22 min.,"January 10, 2017",1,"Ended
",We're Lalaloopsy
13,,English,22 min.,"February 24, 2017",1,Renewed,Legend Quest
12,,English,13–24 min.,"March 10, 2017",1,"Ended
",Buddy Thunderstruck
24,Supernatural,English,22–23 min.,"March 23, 2018",2,"Pending
",Sword Gai: The Animation
7,Science fantasy,English,20–65 min.,"September 22, 2017",2,"Ended
",Neo Yokio
4,Dark fantasy,English,23–29 min.,2017-07-07,1,Renewed,Castlevania
8,Dark fantasy,English,23–29 min.,2018-10-26,2,Renewed,Castlevania
20,Comic science fiction,English,86–94 min.,"April 14, 2017",2,"Pending
",Mystery Science Theater 3000: The Return
,,English,23 min.,,,Ended,Turbo Fast
17,,English,23–47 min.,"May 30, 2013",5,Ended,Ever After High
,,English,22–23 min.,,,Ended,Dragons: Race to the Edge
,,English,22–24 min.,,,Ended,The Adventures of Puss in Boots
,,English,23 min.,,,Ended,All Hail King Julien
13,,English,23 min.,"May 12, 2017",1,"Ended
",All Hail King Julien: Exiled
8,,English,24–25 min.,"September 1, 2017",1,"Ended
",Lego Elves: Secrets of Elvendale
,,English,23 min.,,,Ended,VeggieTales in the House
,Sitcom,English,25–28 min.,,,Renewed,F Is for Family
,,English,23 min.,,1,Ended,Turbo Fast
,,English,23 min.,,,Ended,Turbo Fast
,,English,23 min.,,,Ended,Turbo Fast
,,English,23 min.,,,Ended,Turbo Fast
,,English,23 min.,,,Ended,Turbo Fast
13,,English,23 min.,,2,Ended,Turbo Fast
13,,English,23 min.,,3,Ended,Turbo Fast
17,,English,23–47 min.,"May 30, 2013",5,Ended,Ever After High
17,,English,23–47 min.,"May 30, 2013",5,Ended,Ever After High
17,,English,23–47 min.,"May 30, 2013",5,Ended,Ever After High
17,,English,23–47 min.,"May 30, 2013",5,Ended,Ever After High
,,English,22–23 min.,,,Ended,Dragons: Race to the Edge
20,,English,22–23 min.,2012-08-07,1,Ended,Dragons: Race to the Edge
20,,English,22–23 min.,2013-09-19,2,Ended,Dragons: Race to the Edge
"13,June 26, 2015",,English,22–23 min.,,1,Ended,Dragons: Race to the Edge
"13,January 8, 2016",,English,22–23 min.,,2,Ended,Dragons: Race to the Edge
"13,June 24, 2016",,English,22–23 min.,,3,Ended,Dragons: Race to the Edge
"13,February 17, 2017",,English,22–23 min.,,4,Ended,Dragons: Race to the Edge
"13,August 25, 2017",,English,22–23 min.,,5,Ended,Dragons: Race to the Edge
"13,February 16, 2018",,English,22–23 min.,,6,Ended,Dragons: Race to the Edge
,,English,22–24 min.,2015-01-16,1,Ended,The Adventures of Puss in Boots
,,English,22–24 min.,2015-05-08,,Ended,The Adventures of Puss in Boots
,,English,22–24 min.,2015-09-28,,Ended,The Adventures of Puss in Boots
11,,English,22–24 min.,2015-12-11,2,Ended,The Adventures of Puss in Boots
13,,English,22–24 min.,2016-07-15,3,Ended,The Adventures of Puss in Boots
13,,English,22–24 min.,2016-12-16,4,Ended,The Adventures of Puss in Boots
"June 20, 2017",,English,22–24 min.,,Special,Ended,The Adventures of Puss in Boots
13,,English,22–24 min.,2017-07-28,5,Ended,The Adventures of Puss in Boots
12,,English,22–24 min.,2018-01-26,6,Ended,The Adventures of Puss in Boots
,,English,23 min.,2014-12-19,1,Ended,All Hail King Julien
,,English,23 min.,2015-04-03,,Ended,All Hail King Julien
16,,English,23 min.,2015-10-16,2,Ended,All Hail King Julien
13,,English,23 min.,2016-06-17,3,Ended,All Hail King Julien
13,,English,23 min.,2016-11-11,4,Ended,All Hail King Julien
13,,English,23 min.,2017-05-12,,Ended,All Hail King Julien
13,,English,23 min.,2017-12-01,6,Ended,All Hail King Julien
15,,English,24 min.,"January 26, 2018",1,"Season 2 due to premiere on November 15, 2019",Llama Llama
,,English,23 min.,,1,Ended,VeggieTales in the House
,,English,23 min.,,,Ended,VeggieTales in the House
,,English,23 min.,,,Ended,VeggieTales in the House
11,,English,23 min.,,2,Ended,VeggieTales in the House
13,,English,23 min.,,3,Ended,VeggieTales in the House
13,,English,23 min.,,4,Ended,VeggieTales in the House
6,Sitcom,English,25–28 min.,2015-12-18,1,Renewed,F Is for Family
10,Sitcom,English,25–28 min.,2017-05-30,2,Renewed,F Is for Family
10,Sitcom,English,25–28 min.,2018-11-30,3,Renewed,F Is for Family
,,English,23 min.,,,Ended,Dawn of the Croods
12,,English,22 min.,"November 6, 2015",2,"Ended
",Care Bears and Cousins
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
23,,English,22–85 min.,"April 15, 2016",2,Ended,Kong: King of the Apes
4,,English,22 min.,"March 4, 2016",2,"Ended
",Lego Friends: The Power of Friendship
5,,English,22 min.,"March 4, 2016",2,"Ended
",Lego Bionicle: The Journey to One
5,,English,22 min.,"March 4, 2016",2,"Ended
",Lego Bionicle: The Journey to One
10,,English,24 min.,"June 8, 2018",1,Renewed,The Hollow
5,,English,24 min.,"June 15, 2018",1,"Ended
",True: Magical Friends
5,,English,24 min.,"June 15, 2018",1,"Ended
",True: Wonderful Wishes
26,,English,24 min.,"October 30, 2015",3,"Ended
",Popples
,,English,23 min.,,,Ended,The Mr. Peabody & Sherman Show
13,,English,23 min.,2015-12-24,1,Ended,Dawn of the Croods
13,,English,23 min.,2016-08-26,2,Ended,Dawn of the Croods
13,,English,23 min.,2017-04-07,3,Ended,Dawn of the Croods
13,,English,23 min.,2017-07-07,4,Ended,Dawn of the Croods
12,,English,22 min.,"November 6, 2015",2,"Ended
",Care Bears and Cousins
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
78,,English,23–68 min.,"June 10, 2016",8,Ended,Voltron: Legendary Defender
23,,English,22–85 min.,"April 15, 2016",2,Ended,Kong: King of the Apes
4,,English,22 min.,"March 4, 2016",2,"Ended
",Lego Friends: The Power of Friendship
13,,English,24 min.,"September 21, 2018",1,Renewed,Hilda
10,,English,23 min.,"November 20, 2018",1,"Pending
",Kulipari: Dream Walker
26,,English,24 min.,"October 30, 2015",3,"Ended
",Popples
26,,English,24 min.,"October 30, 2015",3,"Ended
",Popples
13,,English,23 min.,2015-10-09,1,Ended,The Mr. Peabody & Sherman Show
13,,English,23 min.,2016-03-18,2,Ended,The Mr. Peabody & Sherman Show
13,,English,23 min.,2016-10-21,3,Ended,The Mr. Peabody & Sherman Show
13,,English,23 min.,2017-04-21,4,Ended,The Mr. Peabody & Sherman Show
22,,English,23–24 min.,"December 9, 2016",3,"Ended
",Luna Petunia
26,,English,24 min.,"November 4, 2016",2,"Ended
",World of Winx
,,English,23 min.,,,Ended,Trollhunters: Tales of Arcadia
38,,English,24–44 min.,"October 28, 2016",3,Ended ,Skylanders Academy
14,,English,20–28 min.,"August 12, 2016",2,"Season 3 due to premiere on August 2, 2019 ",Ask the StoryBots
,,English,22–24 min.,,,"Ended
",Home: Adventures with Tip & Oh
40,,English,13 min.,"July 8, 2016",3,Renewed,Word Party
,,English,23 min.,,,"Ended
",Dinotrux
9,,English,23–33 min.,"January 18, 2019",1,Renewed,Carmen Sandiego
26,,English,13–14 min.,"March 15, 2019",1,"Pending
",YooHoo to the Rescue
13,,English,25 min.,"March 22, 2019",1,"Pending
",Charlie's Colorforms City
21,,English,6–7 min.,"April 12, 2019",1,"Pending
",Mighty Little Bheem
22,,English,23–24 min.,"December 9, 2016",3,"Ended
",Luna Petunia
22,,English,23–24 min.,"December 9, 2016",3,"Ended
",Luna Petunia
26,,English,24 min.,"November 4, 2016",2,"Ended
",World of Winx
26,,English,23 min.,2016-12-23,1,Ended,Trollhunters: Tales of Arcadia
13,,English,23 min.,2017-12-15,2,Ended,Trollhunters: Tales of Arcadia
13,,English,23 min.,2018-05-25,3,Ended,Trollhunters: Tales of Arcadia
38,,English,24–44 min.,"October 28, 2016",3,Ended ,Skylanders Academy
38,,English,24–44 min.,"October 28, 2016",3,Ended ,Skylanders Academy
14,,English,20–28 min.,"August 12, 2016",2,"Season 3 due to premiere on August 2, 2019 ",Ask the StoryBots
26,,English,22–24 min.,2016-07-29,1,"Ended
",Home: Adventures with Tip & Oh
26,,English,22–24 min.,2017-01-27,2,"Ended
",Home: Adventures with Tip & Oh
26,,English,22–24 min.,2017-08-11,3,"Ended
",Home: Adventures with Tip & Oh
"December 1, 2017",,English,22–24 min.,,Special,"Ended
",Home: Adventures with Tip & Oh
26,,English,22–24 min.,2018-07-20,4,"Ended
",Home: Adventures with Tip & Oh
40,,English,13 min.,"July 8, 2016",3,Renewed,Word Party
40,,English,13 min.,"July 8, 2016",3,Renewed,Word Party
10,,English,23 min.,2015-08-14,1,"Ended
",Dinotrux
13,,English,23 min.,2016-03-11,2,"Ended
",Dinotrux
16,,English,23 min.,2016-10-07,3,"Ended
",Dinotrux
7,,English,23 min.,2017-03-31,4,"Ended
",Dinotrux
6,,English,23 min.,2017-08-18,5,"Ended
",Dinotrux
6,,English,23 min.,2017-11-10,6,"Ended
",Dinotrux
7,,English,23 min.,2018-03-23,7,"Ended
",Dinotrux
5,,English,9–12 min.,"June 7, 2019",1,"Pending
",Super Monsters Monster Pets
11,,English,2 min.,"May 18, 2018",1,"Pending
",Dance & Sing with True
4,,English,2 min.,"September 14, 2018",1,"Pending
",Super Monsters Monster Party
8,,English,3 min.,"July 12, 2019",1,"Pending
",True Tunes
26,,English,23 min.,"February 24, 2017",2,"Ended
",VeggieTales in the City
13,,English,22 min.,"January 6, 2017",2,Ended,Edgar Rice Burroughs' Tarzan and Jane
14,,English,24 min.,"August 11, 2017",2,Renewed,True and the Rainbow Kingdom
,,English,23 min.,,,"Pending
",Spirit Riding Free
61,Black comedy,English,25–26 min.,"August 22, 2014",5,Renewed,BoJack Horseman
,Coming-of-age,English,23–32 min.,,,Renewed,On My Block
,Comedy-drama,English,32–38 min.,,,Ended,She's Gotta Have It
13,,English,23 min.,2018-08-03,8,"Ended
",Dinotrux
13,Educational,English,27–34 min.,"March 17, 2017",1,"Ended
",Julie's Greenroom
26,,English,23 min.,"February 24, 2017",2,"Ended
",VeggieTales in the City
13,,English,22 min.,"January 6, 2017",2,Ended,Edgar Rice Burroughs' Tarzan and Jane
14,,English,24 min.,"August 11, 2017",2,Renewed,True and the Rainbow Kingdom
6,,English,23 min.,2017-05-05,1,"Pending
",Spirit Riding Free
7,,English,23 min.,2017-09-08,2,"Pending
",Spirit Riding Free
7,,English,23 min.,2017-11-17,3,"Pending
",Spirit Riding Free
6,,English,23 min.,2018-03-16,4,"Pending
",Spirit Riding Free
7,,English,23 min.,2018-05-11,5,"Pending
",Spirit Riding Free
61,Black comedy,English,25–26 min.,"August 22, 2014",5,Renewed,BoJack Horseman
61,Black comedy,English,25–26 min.,"August 22, 2014",5,Renewed,BoJack Horseman
61,Black comedy,English,25–26 min.,"August 22, 2014",5,Renewed,BoJack Horseman
61,Black comedy,English,25–26 min.,"August 22, 2014",5,Renewed,BoJack Horseman
10,Coming-of-age,English,23–32 min.,2018-03-16,1,Renewed,On My Block
10,Coming-of-age,English,23–32 min.,2019-03-29,2,Renewed,On My Block
10,Comedy-drama,English,32–38 min.,2017-11-23,1,Ended,She's Gotta Have It
9,Comedy-drama,English,32–38 min.,2019-05-24,2,Ended,She's Gotta Have It
,,English,24–25 min.,,,"Pending
",Trolls: The Beat Goes On!
13,Educational,English,23–27 min.,"May 11, 2018",1,"Pending
",The Who Was? Show
23,,English,23 min.,"November 17, 2017",2,"Pending
",Stretch Armstrong and the Flex Fighters
20,,English,23–25 min.,"April 20, 2018",2,"Pending
",Spy Kids: Mission Critical
,,English,24 min.,,,"Pending
",The Boss Baby: Back in Business
16,,English,22–23 min.,"October 13, 2017",2,"Season 3 due to premiere on October 4, 2019 ",Super Monsters
26,,English,25 min.,"September 29, 2017",2,"Pending
",The Magic School Bus Rides Again
6,,English,23 min.,2018-08-17,6,"Pending
",Spirit Riding Free
7,,English,23 min.,2018-11-09,7,"Pending
",Spirit Riding Free
6,,English,23 min.,2019-04-05,8,"Pending
",Spirit Riding Free
16,Mockumentary,English,26–42 min.,"September 15, 2017",2,Ended,American Vandal
20,Comedy,English,23–32 min.,"August 25, 2017",2,Ended,Disjointed
6,,English,24–25 min.,,1,"Pending
",Trolls: The Beat Goes On!
7,,English,24–25 min.,,2,"Pending
",Trolls: The Beat Goes On!
6,,English,24–25 min.,,3,"Pending
",Trolls: The Beat Goes On!
7,,English,24–25 min.,,4,"Pending
",Trolls: The Beat Goes On!
6,,English,24–25 min.,,5,"Pending
",Trolls: The Beat Goes On!
7,,English,24–25 min.,,6,"Pending
",Trolls: The Beat Goes On!
8,Comedy,English,22–28 min.,"October 19, 2018",1,"Miniseries
",Best.Worst.Weekend.Ever.
13,Educational,English,22–25 min.,"November 2, 2018",1,"Pending
",Brainchild
10,Sitcom,English,26–32 min.,"April 15, 2019",1,"Part 2 due to premiere on August 5, 2019",No Good Nick
8,Comedy,English,22–26 min.,"June 3, 2019",1,"Pending
",Malibu Rescue: The Series
23,,English,23 min.,"November 17, 2017",2,"Pending
",Stretch Armstrong and the Flex Fighters
20,,English,23–25 min.,"April 20, 2018",2,"Pending
",Spy Kids: Mission Critical
"13,April 6, 2018",,English,24 min.,,1,"Pending
",The Boss Baby: Back in Business
"13,October 12, 2018",,English,24 min.,,2,"Pending
",The Boss Baby: Back in Business
16,,English,22–23 min.,"October 13, 2017",2,"Season 3 due to premiere on October 4, 2019 ",Super Monsters
26,,English,25 min.,"September 29, 2017",2,"Pending
",The Magic School Bus Rides Again
16,Mockumentary,English,26–42 min.,"September 15, 2017",2,Ended,American Vandal
20,Comedy,English,23–32 min.,"August 25, 2017",2,Ended,Disjointed
,,English,24 min.,,,"Season 3 due to premiere on August 2, 2019",She-Ra and the Princesses of Power
,,English,8 min.,,,"Pending
",Larva Island
13,Crime drama,English,37–49 min.,"November 11, 2016",1,"Ended
",Estocolmo
20,Comedy,English,27–30 min.,"June 9, 2017",1,"Ended
",My Only Love Song
8,Action,English,23–28 min.,"November 10, 2017",1,"Ended
",Blazing Transfer Students
59,,English,12–23 min.,"January 1, 2019",3,"Pending
",Pinky Malinky
,,English,23–24 min.,,,Ended,3Below: Tales of Arcadia
51,,English,15–26 min.,"November 20, 2018",2,"Pending
",Motown Magic
,,English,25–27 min.,,,Renewed,The Dragon Prince
26,,English,22–23 min.,"July 27, 2018",2,"Pending
",Cupcake & Dino: General Services
,,English,24 min.,,,"Pending
",The Epic Tales of Captain Underpants
13,,English,24 min.,2018-11-13,1,"Season 3 due to premiere on August 2, 2019",She-Ra and the Princesses of Power
7,,English,24 min.,2019-04-26,2,"Season 3 due to premiere on August 2, 2019",She-Ra and the Princesses of Power
,,English,8 min.,,,"Pending
",Larva Island
26,,English,8 min.,2011-03-26,1,"Pending
",Larva Island
27,,English,8 min.,2012-01-05,2,"Pending
",Larva Island
104,,English,8 min.,2015-01-05,3,"Pending
",Larva Island
26,,English,8 min.,2018-19-10,4,"Pending
",Larva Island
TBA,,English,8 min.,TBA,5,"Pending
",Larva Island
10,Drama,English,38–43 min.,"March 16, 2018",1,"Ended
",Edha
6,Comedy,English,29–37 min.,"June 17, 2018",1,"Ended
",Club de Cuervos Presents: The Ballad of Hugo Sánchez
8,Drama,English,43–55 min.,"July 6, 2018",1,"Season 2 due to premiere on August 15, 2019",Sacred Games
9,Comedy,English,39–64 min.,"July 20, 2018",1,"Pending
",Jimmy: The True Story of a True Idiot
6,Science fiction,English,33–44 min.,"August 1, 2018",1,"Ended
",Switched
59,,English,12–23 min.,"January 1, 2019",3,"Pending
",Pinky Malinky
59,,English,12–23 min.,"January 1, 2019",3,"Pending
",Pinky Malinky
13,,English,23–24 min.,2018-12-21,1,Ended,3Below: Tales of Arcadia
13,,English,23–24 min.,2019-07-12,2,Ended,3Below: Tales of Arcadia
51,,English,15–26 min.,"November 20, 2018",2,"Pending
",Motown Magic
